var_a,var_b,relationship_kind,strength_measure,strength,representation_classification,high_association
endometrioma,endometrioma_presence_laterality,categorical-categorical,cramers_v,1.0,exact/superseded or direct-lineage representation (one is derived in B from the other),True
mode_of_conception,mode_of_conception_ivf_vs_all,categorical-categorical,cramers_v,1.0,deterministic re-expression (ivf_vs_all == 1 iff mode_of_conception == 1) -- HARD target-independent co-entry pair in the C13 YAML contract; the two must never enter a model together,True
endometrioma,endometrioma_size_status,categorical-categorical,cramers_v,1.0,exact/superseded or direct-lineage representation (one is derived in B from the other),True
endometriosis_surgery,derived_prior_endo_surgery_procedure_status,categorical-categorical,cramers_v,1.0,"clinically overlapping (prior endo surgery) -- redundancy disclosed, both retained",True
endometriosis_surgery,derived_endo_surgery_adhesion_status,categorical-categorical,cramers_v,1.0,exact/superseded or direct-lineage representation (one is derived in B from the other),True
diabetes_type,derived_diabetes_type_grouped,categorical-categorical,cramers_v,1.0,"clinically overlapping (diabetes) -- redundancy disclosed, both retained",True
induction_any_bin,indication_for_induction_status,categorical-categorical,cramers_v,1.0,exact/superseded or direct-lineage representation (one is derived in B from the other),True
SIPET,indication_for_induction_status,categorical-categorical,cramers_v,1.0,clinically distinct but correlated -- retain both; NOT a duplicate,True
gestational_diabetes,diabetes_type,categorical-categorical,cramers_v,0.995,"clinically overlapping (diabetes) -- redundancy disclosed, both retained",True
gestational_diabetes,derived_diabetes_type_grouped,categorical-categorical,cramers_v,0.992,"clinically overlapping (diabetes) -- redundancy disclosed, both retained",True
pregnancy_related_hypertensive_disorder,derived_hypertension_pih_pet_spectrum,categorical-categorical,cramers_v,0.973,"clinically overlapping (hypertension spectrum) -- redundancy disclosed, both retained",True
any_PET_cat,derived_hypertension_pih_pet_spectrum,categorical-categorical,cramers_v,0.952,"clinically overlapping (hypertension spectrum) -- redundancy disclosed, both retained",True
PIH,derived_hypertension_pih_pet_spectrum,categorical-categorical,cramers_v,0.947,"clinically overlapping (hypertension spectrum) -- redundancy disclosed, both retained",True
mild_PET,any_PET_cat,categorical-categorical,cramers_v,0.892,"clinically overlapping (hypertension spectrum) -- redundancy disclosed, both retained",True
mild_PET,derived_hypertension_pih_pet_spectrum,categorical-categorical,cramers_v,0.85,"clinically overlapping (hypertension spectrum) -- redundancy disclosed, both retained",True
endo_resection_adhesiolysis,derived_endo_surgery_adhesion_status,categorical-categorical,cramers_v,0.849,clinically distinct but correlated -- retain both; NOT a duplicate,True
endo_resection_lesion,derived_prior_endo_surgery_procedure_status,categorical-categorical,cramers_v,0.848,clinically distinct but correlated -- retain both; NOT a duplicate,True
endo_resection_lesion,derived_endo_surgery_adhesion_status,categorical-categorical,cramers_v,0.806,clinically distinct but correlated -- retain both; NOT a duplicate,True
endometriosis_surgery,endo_resection_lesion,categorical-categorical,cramers_v,0.798,clinically distinct but correlated -- retain both; NOT a duplicate,True
oligohydramnios,indication_for_induction_status,categorical-categorical,cramers_v,0.795,clinically distinct but correlated -- retain both; NOT a duplicate,True
IUGR,derived_placental_dysfunction_proxy,categorical-categorical,cramers_v,0.792,clinically distinct but correlated -- retain both; NOT a duplicate,True
any_PET_cat,severe_PET_cat,categorical-categorical,cramers_v,0.773,"clinically overlapping (hypertension spectrum) -- redundancy disclosed, both retained",True
IUGR,indication_for_induction_status,categorical-categorical,cramers_v,0.744,clinically distinct but correlated -- retain both; NOT a duplicate,True
endo_resection_adhesiolysis,derived_prior_endo_surgery_procedure_status,categorical-categorical,cramers_v,0.734,clinically distinct but correlated -- retain both; NOT a duplicate,True
endo_resection_no_resection,derived_prior_endo_surgery_procedure_status,categorical-categorical,cramers_v,0.729,clinically distinct but correlated -- retain both; NOT a duplicate,True
derived_endo_surgery_adhesion_status,derived_prior_endo_surgery_procedure_status,categorical-categorical,cramers_v,0.726,"clinically overlapping (prior endo surgery) -- redundancy disclosed, both retained",True
pregnancy_related_hypertensive_disorder,any_PET_cat,categorical-categorical,cramers_v,0.719,"clinically overlapping (hypertension spectrum) -- redundancy disclosed, both retained",True
pregnancy_related_hypertensive_disorder,PIH,categorical-categorical,cramers_v,0.718,"clinically overlapping (hypertension spectrum) -- redundancy disclosed, both retained",True
indication_for_induction_status,derived_placental_dysfunction_proxy,categorical-categorical,cramers_v,0.71,clinically distinct but correlated -- retain both; NOT a duplicate,True
endometriosis_surgery,endo_resection_adhesiolysis,categorical-categorical,cramers_v,0.691,clinically distinct but correlated -- retain both; NOT a duplicate,True
pregnancy_related_hypertensive_disorder,indication_for_induction_status,categorical-categorical,cramers_v,0.667,clinically distinct but correlated -- retain both; NOT a duplicate,True
endo_resection_lesion,endo_resection_adhesiolysis,categorical-categorical,cramers_v,0.665,clinically distinct but correlated -- retain both; NOT a duplicate,True
