column_name,classification,reason
delivery_id,id,Identifier columns only; retained for linkage/audit and excluded from modeling.
subject_number,id,Identifier columns only; retained for linkage/audit and excluded from modeling.
AGE,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
G,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
nulliparity,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
P,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
LIVE_BIRTH,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
EUP,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
AB,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
S_P_CS,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
CS,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
VBAC,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
smoking,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
alcohol,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
any_medical_problem,clinically_nonspecific_exclude,"General indicator combining clinically heterogeneous conditions or treatments; excluded from predictor modeling because it is too nonspecific for meaningful interpretation, following clinical expert guidance."
any_medical_problem_comment,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
regular_medications,clinically_nonspecific_exclude,"General indicator combining clinically heterogeneous conditions or treatments; excluded from predictor modeling because it is too nonspecific for meaningful interpretation, following clinical expert guidance."
regular_medications_comment,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
Fetus_Anamoly,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
Fetus_Anamoly_comment,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
deep_endometriosis,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
adenomyosis,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
superficial_endometriosis,clinically_redundant_exclude,"Retained in the dataset for audit, cohort-rule derivation, and outcome-independent sensitivity analyses, but excluded from every modeling candidate pool: clinical experts selected peritoneal_endometriosis as the canonical representation of the overlapping endometriosis phenotype (Decision 66), notwithstanding the two variables' imperfect empirical agreement."
cs_scar_endometriosis,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
peritoneal_endometriosis,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
diagnosis_date,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
endometrioma,predictor_allowed,"Candidate pre-delivery or historical predictors approved for empirical evaluation. Available before labor begins; eligible for all three cumulative prediction stages (Decision 65): Stage 1 (pre-labor), Stage 2 (pre-labor + near-delivery), and Stage 3 (pre-labor + near-delivery + intrapartum)."
endometrioma_size,source_or_text_audit_exclude,"Source, free-text, or raw-detail variables retained for audit/documentation only; excluded from direct modeling."
