new_column,source_column,creation_rule,timing,leakage_status,intended_use,creation_section,upstream_lineage,predictor_classification,stage,clinical_timing,domain,redundancy_group,materialized_in_B,model_entry_mode,redundant_with,cutpoint_source
BMI_after,BMI_after,"raw source column, passed through unchanged (no imputation). May feed the modeling-stage fold-safe BMI_after_cat transformer internally as a transform dependency; must never independently enter a design matrix as a plain numeric predictor, nor alongside its mathematical source family (height, weight_in_pregnancy).",same_as_source,no,review,B5b,,secondary_near_delivery_predictor,2,pregnancy,anthropometric,BMI_after_representation,True,transform_source_only,UNSET,UNSET
BMI_after_cat,BMI_after,"DOCUMENTED REPRESENTATION ONLY -- not computed as a df_clean column in Data Cleaning B. B decides: four nominal categories low_observed/mid_observed/high_observed (observed-value tertiles of BMI_after) plus not_documented for missing rows. The actual q33/q67 cutpoints are fitted training-fold-only by a fold-safe transformer at modeling time -- never from the full cohort, never here in B. No imputation of BMI_after is performed anywhere.",same_as_source,no,review,B5b,,secondary_near_delivery_predictor,2,pregnancy,anthropometric,BMI_after_representation,False,direct,UNSET,fold_safe_training_only
PPROM,PPROM,"raw binary source column, passed through unchanged. Remains independently selectable as an ordinary predictor on its own clinical merits (model_entry_mode=direct) -- it is NOT a transform-source-only column. It also acts as the applicability gate the fold-safe PPROM-timing transformer needs internally (no_PPROM vs. applicable-subgroup timing) as a dependency, independent of whether PPROM is itself selected as a feature. Because it is exactly redundant with the timing representation it gates (no_PPROM already encodes PPROM==0/1), the two must never be SIMULTANEOUSLY selected together -- enforced via the pprom_timing_representation redundancy group, not by forbidding PPROM's independent use altogether.",same_as_source,no,review,B5b,,secondary_near_delivery_predictor,2,antepartum,obstetric,pprom_timing_representation,True,direct,gestational_age_at_PPROM_days_timing_status,UNSET
adenomyosis_feature_1,"adenomyosis, adenomyosis_sonographic_features_clean","binary indicator: 1 when adenomyosis==1 and code 1 is documented present in adenomyosis_sonographic_features_clean's comma-separated code string; 0 otherwise (including all adenomyosis==0 rows and adenomyosis==1 rows where the feature is genuinely undocumented). 0 is not asserted as guaranteed clinical absence, only that the code was not documented as present. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.",same_as_source,no,review,B5f,,predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,UNSET,True,direct,UNSET,UNSET
adenomyosis_feature_10,"adenomyosis, adenomyosis_sonographic_features_clean","binary indicator: 1 when adenomyosis==1 and code 10 is documented present in adenomyosis_sonographic_features_clean's comma-separated code string; 0 otherwise (including all adenomyosis==0 rows and adenomyosis==1 rows where the feature is genuinely undocumented). 0 is not asserted as guaranteed clinical absence, only that the code was not documented as present. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.",same_as_source,no,review,B5f,,predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,UNSET,True,direct,UNSET,UNSET
adenomyosis_feature_11,"adenomyosis, adenomyosis_sonographic_features_clean","binary indicator: 1 when adenomyosis==1 and code 11 is documented present in adenomyosis_sonographic_features_clean's comma-separated code string; 0 otherwise (including all adenomyosis==0 rows and adenomyosis==1 rows where the feature is genuinely undocumented). 0 is not asserted as guaranteed clinical absence, only that the code was not documented as present. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.",same_as_source,no,review,B5f,,predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,UNSET,True,direct,UNSET,UNSET
adenomyosis_feature_2,"adenomyosis, adenomyosis_sonographic_features_clean","binary indicator: 1 when adenomyosis==1 and code 2 is documented present in adenomyosis_sonographic_features_clean's comma-separated code string; 0 otherwise (including all adenomyosis==0 rows and adenomyosis==1 rows where the feature is genuinely undocumented). 0 is not asserted as guaranteed clinical absence, only that the code was not documented as present. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.",same_as_source,no,review,B5f,,predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,UNSET,True,direct,UNSET,UNSET
adenomyosis_feature_3,"adenomyosis, adenomyosis_sonographic_features_clean","binary indicator: 1 when adenomyosis==1 and code 3 is documented present in adenomyosis_sonographic_features_clean's comma-separated code string; 0 otherwise (including all adenomyosis==0 rows and adenomyosis==1 rows where the feature is genuinely undocumented). 0 is not asserted as guaranteed clinical absence, only that the code was not documented as present. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.",same_as_source,no,review,B5f,,predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,UNSET,True,direct,UNSET,UNSET
adenomyosis_feature_4,"adenomyosis, adenomyosis_sonographic_features_clean","binary indicator: 1 when adenomyosis==1 and code 4 is documented present in adenomyosis_sonographic_features_clean's comma-separated code string; 0 otherwise (including all adenomyosis==0 rows and adenomyosis==1 rows where the feature is genuinely undocumented). 0 is not asserted as guaranteed clinical absence, only that the code was not documented as present. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.",same_as_source,no,review,B5f,,predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,UNSET,True,direct,UNSET,UNSET
adenomyosis_feature_5,"adenomyosis, adenomyosis_sonographic_features_clean","binary indicator: 1 when adenomyosis==1 and code 5 is documented present in adenomyosis_sonographic_features_clean's comma-separated code string; 0 otherwise (including all adenomyosis==0 rows and adenomyosis==1 rows where the feature is genuinely undocumented). 0 is not asserted as guaranteed clinical absence, only that the code was not documented as present. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.",same_as_source,no,review,B5f,,predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,UNSET,True,direct,UNSET,UNSET
adenomyosis_feature_6,"adenomyosis, adenomyosis_sonographic_features_clean","binary indicator: 1 when adenomyosis==1 and code 6 is documented present in adenomyosis_sonographic_features_clean's comma-separated code string; 0 otherwise (including all adenomyosis==0 rows and adenomyosis==1 rows where the feature is genuinely undocumented). 0 is not asserted as guaranteed clinical absence, only that the code was not documented as present. Lossless multi-hot replacement for the retired adenomyosis_sonographic_features_status combination-level categorical.",same_as_source,no,review,B5f,,predictor_allowed,1,pre_pregnancy,endometriosis_phenotype,UNSET,True,direct,UNSET,UNSET
