column,N,Q1,Q3,IQR,min,max,iqr_lower,iqr_upper,n_iqr_outliers,iqr_outlier_%,skewness,descriptive_skew_flag,screening_method,final_decision,final_reason,clinical_dependency_status,value_mutated,row_removed,created_missingness,target_used_for_decision,screen_type
AGE,431,29.0,35.0,6.0,18.0,46.0,20.0,44.0,2,0.5,-0.13,False,iqr_1p5_descriptive,keep_plausible,"Valid maternal ages (18 and 46 yr). IQR status reflects this cohort's age distribution, not a data-quality problem. No Keren question required.",closed_no_consultation_required,False,False,False,False,numeric_iqr
weight_before_pregnancy,342,52.0,69.0,17.0,35.0,135.0,26.5,94.5,11,3.2,1.542,True,iqr_1p5_descriptive,keep_internally_consistent,"~95-135 kg. BMI_before is reproduced to floating-point precision by weight_before_pregnancy / (height/100)**2 for every flagged row -- no kg/lb, decimal-point, or arithmetic error. No Keren question required.",closed_no_consultation_required,False,False,False,False,numeric_iqr
weight_in_pregnancy,187,66.0,84.0,18.0,50.0,119.0,39.0,111.0,1,0.5,0.455,False,iqr_1p5_descriptive,keep_internally_consistent,"119 kg (1 row). Weight, height, BMI_before, BMI_after and the ~6 kg gestational weight difference are mutually coherent. No Keren question required.",closed_no_consultation_required,False,False,False,False,numeric_iqr
height,363,159.0,168.0,9.0,148.0,187.0,145.5,181.5,1,0.3,0.08,False,iqr_1p5_descriptive,keep_plausible,"187 cm is tall but physiologically ordinary. The separate 1.65 -> 165 cm conversion is a deterministic preprocessing unit normalization, not an outlier correction. No Keren question required.",closed_no_consultation_required,False,False,False,False,numeric_iqr
BMI_before,317,19.723,25.781,6.058,14.199,47.016,10.636,34.868,12,3.8,1.599,True,iqr_1p5_descriptive,keep_internally_consistent,~34.9-47.0. Every flagged BMI is mathematically consistent with its own observed height and pre-pregnancy weight. The observed minimum (~14.2) is not an IQR outlier. No Keren question required.,closed_no_consultation_required,False,False,False,False,numeric_iqr
BMI_after,184,24.772,30.782,6.009,18.365,41.176,15.758,39.796,3,1.6,0.447,False,iqr_1p5_descriptive,keep_internally_consistent,~40.6-41.2. Mathematically consistent with observed pregnancy weight and height. No BMI_after plausibility cutoff is introduced by this section.,closed_no_consultation_required,False,False,False,False,numeric_iqr
Hb_before_delivery,392,11.3,12.8,1.5,8.77,16.07,9.05,15.05,3,0.8,0.1,False,iqr_1p5_descriptive,keep_plausible,"8.77 / 8.96 / 16.07 g/dL -- clinically possible anemia / high-Hb observations with no evidence of malformed source values or unit error. The preprocessing <5 / >20 g/dL check is a broad sanity-review threshold, not proof of physical impossibility.",closed_no_consultation_required,False,False,False,False,numeric_iqr
endometrioma_size_clean,171,20.0,50.0,30.0,10.0,210.0,-25.0,95.0,3,1.8,2.423,True,iqr_1p5_descriptive,keep_parser_source_notation_consistent,"IQR extremes 210 / 100 / 100 mm. The parser applies the documented literal unit interpretation of the source unit marker consistently (the same notation occurs throughout the dataset, not only in these rows). Extreme lesion size is not by itself evidence of a source error, and the values are not reinterpreted merely because they are statistically extreme. endometrioma_size_clean and the derived endometrioma_size_status are unchanged. An original ultrasound/chart could provide additional external confirmation if ever reviewed; this is not an open preprocessing blocker and not a pending Keren dependency.",closed_no_consultation_required,False,False,False,False,numeric_iqr
gestational_age_at_delivery_days,431,267.0,281.0,14.0,162.0,295.0,246.0,302.0,10,2.3,-2.977,True,iqr_1p5_descriptive,keep_available_source_consistency_verified,"Preterm tail (162-245 days). All raw 'W+D' values parse correctly (W+0 is valid, e.g. 35+0 -> 245 days). The most extreme preterm record (23+1 weeks) is internally coherent in the currently available canonical source (PPROM=1 at 23+1, trial_of_labor_corrected=1). Additional source-chart verification could be performed if the original clinical record is later available, but the current canonical dataset contains no internal evidence of transcription or parsing error and the record is not excluded. No open preprocessing blocker; no Keren question required.",closed_no_consultation_required,False,False,False,False,numeric_iqr
G,431,1.0,3.0,2.0,1.0,10.0,-2.0,6.0,4,0.9,1.738,True,count_distribution_descriptive,keep_count_logical_checks_only,"G: discrete obstetric-history count. IQR is descriptive only and is not used as a validity or removal criterion; ordinary upper-tail counts are not errors. Retained unchanged. Logical validation (non-negativity, integerness) is in Section B2b.",closed_no_consultation_required,False,False,False,False,count_supplementary_iqr
P,431,0.0,1.0,1.0,0.0,5.0,-1.5,2.5,18,4.2,1.49,False,count_distribution_descriptive,keep_count_logical_checks_only,"P: discrete obstetric-history count. IQR is descriptive only and is not used as a validity or removal criterion; ordinary upper-tail counts are not errors. Retained unchanged. Logical validation (non-negativity, integerness) is in Section B2b.",closed_no_consultation_required,False,False,False,False,count_supplementary_iqr
LIVE_BIRTH,431,0.0,1.0,1.0,0.0,5.0,-1.5,2.5,19,4.4,1.419,False,count_distribution_descriptive,keep_count_logical_checks_only,"LIVE_BIRTH: discrete obstetric-history count. IQR is descriptive only and is not used as a validity or removal criterion; ordinary upper-tail counts are not errors. Retained unchanged. Logical validation (non-negativity, integerness) is in Section B2b.",closed_no_consultation_required,False,False,False,False,count_supplementary_iqr
