variable,observed_extreme_summary,screening_method,source_or_consistency_evidence,final_decision,final_reason,data_mutated,row_removed,created_missingness,clinical_dependency_status,target_used_for_decision
AGE,"2 value(s) beyond 1.5xIQR fence [20.0, 44.0]; observed range [18.0, 46.0]",iqr_1p5_descriptive,"Valid maternal ages (18 and 46 yr). IQR status reflects this cohort's age distribution, not a data-quality problem. No Keren question required.",keep_plausible,"Valid maternal ages (18 and 46 yr). IQR status reflects this cohort's age distribution, not a data-quality problem. No Keren question required.",False,False,False,closed_no_consultation_required,False
weight_before_pregnancy,"11 value(s) beyond 1.5xIQR fence [26.5, 94.5]; observed range [35.0, 135.0]",iqr_1p5_descriptive,"~95-135 kg. BMI_before is reproduced to floating-point precision by weight_before_pregnancy / (height/100)**2 for every flagged row -- no kg/lb, decimal-point, or arithmetic error. No Keren question required.",keep_internally_consistent,"~95-135 kg. BMI_before is reproduced to floating-point precision by weight_before_pregnancy / (height/100)**2 for every flagged row -- no kg/lb, decimal-point, or arithmetic error. No Keren question required.",False,False,False,closed_no_consultation_required,False
weight_in_pregnancy,"1 value(s) beyond 1.5xIQR fence [39.0, 111.0]; observed range [50.0, 119.0]",iqr_1p5_descriptive,"119 kg (1 row). Weight, height, BMI_before, BMI_after and the ~6 kg gestational weight difference are mutually coherent. No Keren question required.",keep_internally_consistent,"119 kg (1 row). Weight, height, BMI_before, BMI_after and the ~6 kg gestational weight difference are mutually coherent. No Keren question required.",False,False,False,closed_no_consultation_required,False
height,"1 value(s) beyond 1.5xIQR fence [145.5, 181.5]; observed range [148.0, 187.0]",iqr_1p5_descriptive,"187 cm is tall but physiologically ordinary. The separate 1.65 -> 165 cm conversion is a deterministic preprocessing unit normalization, not an outlier correction. No Keren question required.",keep_plausible,"187 cm is tall but physiologically ordinary. The separate 1.65 -> 165 cm conversion is a deterministic preprocessing unit normalization, not an outlier correction. No Keren question required.",False,False,False,closed_no_consultation_required,False
BMI_before,"12 value(s) beyond 1.5xIQR fence [10.636, 34.868]; observed range [14.199, 47.016]",iqr_1p5_descriptive,~34.9-47.0. Every flagged BMI is mathematically consistent with its own observed height and pre-pregnancy weight. The observed minimum (~14.2) is not an IQR outlier. No Keren question required.,keep_internally_consistent,~34.9-47.0. Every flagged BMI is mathematically consistent with its own observed height and pre-pregnancy weight. The observed minimum (~14.2) is not an IQR outlier. No Keren question required.,False,False,False,closed_no_consultation_required,False
BMI_after,"3 value(s) beyond 1.5xIQR fence [15.758, 39.796]; observed range [18.365, 41.176]",iqr_1p5_descriptive,~40.6-41.2. Mathematically consistent with observed pregnancy weight and height. No BMI_after plausibility cutoff is introduced by this section.,keep_internally_consistent,~40.6-41.2. Mathematically consistent with observed pregnancy weight and height. No BMI_after plausibility cutoff is introduced by this section.,False,False,False,closed_no_consultation_required,False
Hb_before_delivery,"3 value(s) beyond 1.5xIQR fence [9.05, 15.05]; observed range [8.77, 16.07]",iqr_1p5_descriptive,"8.77 / 8.96 / 16.07 g/dL -- clinically possible anemia / high-Hb observations with no evidence of malformed source values or unit error. The preprocessing <5 / >20 g/dL check is a broad sanity-review threshold, not proof of physical impossibility.",keep_plausible,"8.77 / 8.96 / 16.07 g/dL -- clinically possible anemia / high-Hb observations with no evidence of malformed source values or unit error. The preprocessing <5 / >20 g/dL check is a broad sanity-review threshold, not proof of physical impossibility.",False,False,False,closed_no_consultation_required,False
endometrioma_size_clean,"3 value(s) beyond 1.5xIQR fence [-25.0, 95.0]; observed range [10.0, 210.0]",iqr_1p5_descriptive,"IQR extremes 210 / 100 / 100 mm. The parser applies the documented literal unit interpretation of the source unit marker consistently (the same notation occurs throughout the dataset, not only in these rows). Extreme lesion size is not by itself evidence of a source error, and the values are not reinterpreted merely because they are statistically extreme. endometrioma_size_clean and the derived endometrioma_size_status are unchanged. An original ultrasound/chart could provide additional external confirmation if ever reviewed; this is not an open preprocessing blocker and not a pending Keren dependency.",keep_parser_source_notation_consistent,"IQR extremes 210 / 100 / 100 mm. The parser applies the documented literal unit interpretation of the source unit marker consistently (the same notation occurs throughout the dataset, not only in these rows). Extreme lesion size is not by itself evidence of a source error, and the values are not reinterpreted merely because they are statistically extreme. endometrioma_size_clean and the derived endometrioma_size_status are unchanged. An original ultrasound/chart could provide additional external confirmation if ever reviewed; this is not an open preprocessing blocker and not a pending Keren dependency.",False,False,False,closed_no_consultation_required,False
gestational_age_at_delivery_days,"10 value(s) beyond 1.5xIQR fence [246.0, 302.0]; observed range [162.0, 295.0]",iqr_1p5_descriptive,"Preterm tail (162-245 days). All raw 'W+D' values parse correctly (W+0 is valid, e.g. 35+0 -> 245 days). The most extreme preterm record (23+1 weeks) is internally coherent in the currently available canonical source (PPROM=1 at 23+1, trial_of_labor_corrected=1). Additional source-chart verification could be performed if the original clinical record is later available, but the current canonical dataset contains no internal evidence of transcription or parsing error and the record is not excluded. No open preprocessing blocker; no Keren question required.",keep_available_source_consistency_verified,"Preterm tail (162-245 days). All raw 'W+D' values parse correctly (W+0 is valid, e.g. 35+0 -> 245 days). The most extreme preterm record (23+1 weeks) is internally coherent in the currently available canonical source (PPROM=1 at 23+1, trial_of_labor_corrected=1). Additional source-chart verification could be performed if the original clinical record is later available, but the current canonical dataset contains no internal evidence of transcription or parsing error and the record is not excluded. No open preprocessing blocker; no Keren question required.",False,False,False,closed_no_consultation_required,False
G,"4 value(s) beyond 1.5xIQR fence [-2.0, 6.0]; observed range [1.0, 10.0]",count_distribution_descriptive,"G: discrete obstetric-history count. IQR is descriptive only and is not used as a validity or removal criterion; ordinary upper-tail counts are not errors. Retained unchanged. Logical validation (non-negativity, integerness) is in Section B2b.",keep_count_logical_checks_only,"G: discrete obstetric-history count. IQR is descriptive only and is not used as a validity or removal criterion; ordinary upper-tail counts are not errors. Retained unchanged. Logical validation (non-negativity, integerness) is in Section B2b.",False,False,False,closed_no_consultation_required,False
P,"18 value(s) beyond 1.5xIQR fence [-1.5, 2.5]; observed range [0.0, 5.0]",count_distribution_descriptive,"P: discrete obstetric-history count. IQR is descriptive only and is not used as a validity or removal criterion; ordinary upper-tail counts are not errors. Retained unchanged. Logical validation (non-negativity, integerness) is in Section B2b.",keep_count_logical_checks_only,"P: discrete obstetric-history count. IQR is descriptive only and is not used as a validity or removal criterion; ordinary upper-tail counts are not errors. Retained unchanged. Logical validation (non-negativity, integerness) is in Section B2b.",False,False,False,closed_no_consultation_required,False
LIVE_BIRTH,"19 value(s) beyond 1.5xIQR fence [-1.5, 2.5]; observed range [0.0, 5.0]",count_distribution_descriptive,"LIVE_BIRTH: discrete obstetric-history count. IQR is descriptive only and is not used as a validity or removal criterion; ordinary upper-tail counts are not errors. Retained unchanged. Logical validation (non-negativity, integerness) is in Section B2b.",keep_count_logical_checks_only,"LIVE_BIRTH: discrete obstetric-history count. IQR is descriptive only and is not used as a validity or removal criterion; ordinary upper-tail counts are not errors. Retained unchanged. Logical validation (non-negativity, integerness) is in Section B2b.",False,False,False,closed_no_consultation_required,False
AB,"11 value(s) beyond 1.5xIQR fence [-1.5, 2.5]; observed range [0.0, 4.0]",count_distribution_descriptive,"AB: discrete obstetric-history count. IQR is descriptive only and is not used as a validity or removal criterion; ordinary upper-tail counts are not errors. Retained unchanged. Logical validation (non-negativity, integerness) is in Section B2b.",keep_count_logical_checks_only,"AB: discrete obstetric-history count. IQR is descriptive only and is not used as a validity or removal criterion; ordinary upper-tail counts are not errors. Retained unchanged. Logical validation (non-negativity, integerness) is in Section B2b.",False,False,False,closed_no_consultation_required,False
CS,"18 value(s) beyond 1.5xIQR fence [0.0, 0.0]; observed range [0.0, 2.0]",count_distribution_descriptive,"CS: zero-inflated discrete count (Q1 = median = Q3 = 0). IQR bounds collapse to a single value, so the IQR method is not meaningful here; values of 1 or 2 are ordinary, not statistical outliers. Retained unchanged. Logical validation (non-negativity, integerness) is in Section B2b.",keep_count_iqr_not_meaningful_zero_inflated,"CS: zero-inflated discrete count (Q1 = median = Q3 = 0). IQR bounds collapse to a single value, so the IQR method is not meaningful here; values of 1 or 2 are ordinary, not statistical outliers. Retained unchanged. Logical validation (non-negativity, integerness) is in Section B2b.",False,False,False,closed_no_consultation_required,False
