group_name,variable,relationship_type,modeling_action,rationale,decision_source
parity_obstetric_history,G,shared_obstetric_history_counts,review_within_modeling,"Overlapping gravidity/parity history counts and the derived binary nulliparity. Nested/threshold representations of the same obstetric history; each member may still carry information the others do not (e.g. losses vs. live births). Co-entry is a modeling-review decision (rank deficiency / VIF within the training process), not a global ban. NOTE on P <-> nulliparity specifically: nulliparity == I(P == 0) is deterministically derived from the parity count P, but it is a NONLINEAR basis function of P, not a linear re-expression -- a logistic-regression design holding P as a count term and I(P == 0) as a binary threshold term can jointly encode a threshold deviation at parity zero and is not necessarily rank-deficient. P and nulliparity are therefore BOTH jointly eligible; their joint entry is a modeling-review / coefficient-stability / nonlinear-basis matter handled within CV, NOT a global hard co-entry pair. Deterministic derivability alone does not justify a permanent co-entry prohibition.","config.py REDUNDANCY_GROUPS['parity_history'] (legacy descriptive) + PARTNER-FIX-03B nulliparity<-P migration. (Final D rebuild closure pass, 2026-09-01: an interim decision that promoted P <-> nulliparity to a hard co-entry pair was SUPERSEDED and reverted to this review-only treatment.)"
parity_obstetric_history,P,shared_obstetric_history_counts,review_within_modeling,"Overlapping gravidity/parity history counts and the derived binary nulliparity. Nested/threshold representations of the same obstetric history; each member may still carry information the others do not (e.g. losses vs. live births). Co-entry is a modeling-review decision (rank deficiency / VIF within the training process), not a global ban. NOTE on P <-> nulliparity specifically: nulliparity == I(P == 0) is deterministically derived from the parity count P, but it is a NONLINEAR basis function of P, not a linear re-expression -- a logistic-regression design holding P as a count term and I(P == 0) as a binary threshold term can jointly encode a threshold deviation at parity zero and is not necessarily rank-deficient. P and nulliparity are therefore BOTH jointly eligible; their joint entry is a modeling-review / coefficient-stability / nonlinear-basis matter handled within CV, NOT a global hard co-entry pair. Deterministic derivability alone does not justify a permanent co-entry prohibition.","config.py REDUNDANCY_GROUPS['parity_history'] (legacy descriptive) + PARTNER-FIX-03B nulliparity<-P migration. (Final D rebuild closure pass, 2026-09-01: an interim decision that promoted P <-> nulliparity to a hard co-entry pair was SUPERSEDED and reverted to this review-only treatment.)"
parity_obstetric_history,AB,shared_obstetric_history_counts,review_within_modeling,"Overlapping gravidity/parity history counts and the derived binary nulliparity. Nested/threshold representations of the same obstetric history; each member may still carry information the others do not (e.g. losses vs. live births). Co-entry is a modeling-review decision (rank deficiency / VIF within the training process), not a global ban. NOTE on P <-> nulliparity specifically: nulliparity == I(P == 0) is deterministically derived from the parity count P, but it is a NONLINEAR basis function of P, not a linear re-expression -- a logistic-regression design holding P as a count term and I(P == 0) as a binary threshold term can jointly encode a threshold deviation at parity zero and is not necessarily rank-deficient. P and nulliparity are therefore BOTH jointly eligible; their joint entry is a modeling-review / coefficient-stability / nonlinear-basis matter handled within CV, NOT a global hard co-entry pair. Deterministic derivability alone does not justify a permanent co-entry prohibition.","config.py REDUNDANCY_GROUPS['parity_history'] (legacy descriptive) + PARTNER-FIX-03B nulliparity<-P migration. (Final D rebuild closure pass, 2026-09-01: an interim decision that promoted P <-> nulliparity to a hard co-entry pair was SUPERSEDED and reverted to this review-only treatment.)"
parity_obstetric_history,EUP,shared_obstetric_history_counts,review_within_modeling,"Overlapping gravidity/parity history counts and the derived binary nulliparity. Nested/threshold representations of the same obstetric history; each member may still carry information the others do not (e.g. losses vs. live births). Co-entry is a modeling-review decision (rank deficiency / VIF within the training process), not a global ban. NOTE on P <-> nulliparity specifically: nulliparity == I(P == 0) is deterministically derived from the parity count P, but it is a NONLINEAR basis function of P, not a linear re-expression -- a logistic-regression design holding P as a count term and I(P == 0) as a binary threshold term can jointly encode a threshold deviation at parity zero and is not necessarily rank-deficient. P and nulliparity are therefore BOTH jointly eligible; their joint entry is a modeling-review / coefficient-stability / nonlinear-basis matter handled within CV, NOT a global hard co-entry pair. Deterministic derivability alone does not justify a permanent co-entry prohibition.","config.py REDUNDANCY_GROUPS['parity_history'] (legacy descriptive) + PARTNER-FIX-03B nulliparity<-P migration. (Final D rebuild closure pass, 2026-09-01: an interim decision that promoted P <-> nulliparity to a hard co-entry pair was SUPERSEDED and reverted to this review-only treatment.)"
parity_obstetric_history,LIVE_BIRTH,shared_obstetric_history_counts,review_within_modeling,"Overlapping gravidity/parity history counts and the derived binary nulliparity. Nested/threshold representations of the same obstetric history; each member may still carry information the others do not (e.g. losses vs. live births). Co-entry is a modeling-review decision (rank deficiency / VIF within the training process), not a global ban. NOTE on P <-> nulliparity specifically: nulliparity == I(P == 0) is deterministically derived from the parity count P, but it is a NONLINEAR basis function of P, not a linear re-expression -- a logistic-regression design holding P as a count term and I(P == 0) as a binary threshold term can jointly encode a threshold deviation at parity zero and is not necessarily rank-deficient. P and nulliparity are therefore BOTH jointly eligible; their joint entry is a modeling-review / coefficient-stability / nonlinear-basis matter handled within CV, NOT a global hard co-entry pair. Deterministic derivability alone does not justify a permanent co-entry prohibition.","config.py REDUNDANCY_GROUPS['parity_history'] (legacy descriptive) + PARTNER-FIX-03B nulliparity<-P migration. (Final D rebuild closure pass, 2026-09-01: an interim decision that promoted P <-> nulliparity to a hard co-entry pair was SUPERSEDED and reverted to this review-only treatment.)"
parity_obstetric_history,nulliparity,shared_obstetric_history_counts,review_within_modeling,"Overlapping gravidity/parity history counts and the derived binary nulliparity. Nested/threshold representations of the same obstetric history; each member may still carry information the others do not (e.g. losses vs. live births). Co-entry is a modeling-review decision (rank deficiency / VIF within the training process), not a global ban. NOTE on P <-> nulliparity specifically: nulliparity == I(P == 0) is deterministically derived from the parity count P, but it is a NONLINEAR basis function of P, not a linear re-expression -- a logistic-regression design holding P as a count term and I(P == 0) as a binary threshold term can jointly encode a threshold deviation at parity zero and is not necessarily rank-deficient. P and nulliparity are therefore BOTH jointly eligible; their joint entry is a modeling-review / coefficient-stability / nonlinear-basis matter handled within CV, NOT a global hard co-entry pair. Deterministic derivability alone does not justify a permanent co-entry prohibition.","config.py REDUNDANCY_GROUPS['parity_history'] (legacy descriptive) + PARTNER-FIX-03B nulliparity<-P migration. (Final D rebuild closure pass, 2026-09-01: an interim decision that promoted P <-> nulliparity to a hard co-entry pair was SUPERSEDED and reverted to this review-only treatment.)"
prior_cesarean_history,CS,prior_cesarean_history,review_within_modeling,"Prior-cesarean count (CS), the binary status-post-CS flag (S_P_CS) and prior successful VBAC. Clinically overlapping but not a deterministic pair: CS is a count, S_P_CS a threshold on it, VBAC an outcome of a prior trial of labor. Modeling review only.",Clinical variable documentation; config.py REDUNDANCY_GROUPS (legacy descriptive).
prior_cesarean_history,S_P_CS,prior_cesarean_history,review_within_modeling,"Prior-cesarean count (CS), the binary status-post-CS flag (S_P_CS) and prior successful VBAC. Clinically overlapping but not a deterministic pair: CS is a count, S_P_CS a threshold on it, VBAC an outcome of a prior trial of labor. Modeling review only.",Clinical variable documentation; config.py REDUNDANCY_GROUPS (legacy descriptive).
prior_cesarean_history,VBAC,prior_cesarean_history,review_within_modeling,"Prior-cesarean count (CS), the binary status-post-CS flag (S_P_CS) and prior successful VBAC. Clinically overlapping but not a deterministic pair: CS is a count, S_P_CS a threshold on it, VBAC an outcome of a prior trial of labor. Modeling review only.",Clinical variable documentation; config.py REDUNDANCY_GROUPS (legacy descriptive).
prepregnancy_anthropometry,BMI_before,anthropometric_index_and_components,review_within_modeling,BMI_before is the index; weight_before_pregnancy and height are its mathematical components. Not a global hard ban (each component may carry independent signal); BMI_before's own fold-safe recompute reads the components internally as transform dependencies. Modeling review / collinearity handling only.,cleaning_b_part4_transformations_imputation_plan.py (BMI_before recompute) + modeling_core.py _BMI_BEFORE_DEPENDENCY_COLS.
