variable,stage_1,stage_2,stage_3,continuous_or_discrete,skewness,descriptive_skew_flag,power_transform_reviewed,primary_power_transform_decision,decision_reason,target_used_for_decision,downstream_scaling
AGE,True,True,True,continuous,-0.13,False,True,raw_no_fixed_power_transform,"Logistic regression requires a linear relationship between the predictor and the log-odds of the outcome, not a normally distributed predictor -- skewness alone is not sufficient justification for transformation. Clinically implausible/erroneous values were already adjudicated separately and target-blind in Section B2; this section does not re-litigate that adjudication. The raw clinical unit remains directly interpretable to a clinical reader. Any future nonlinear functional-form sensitivity analysis (e.g. splines, a data-driven Box-Cox lambda) must be fitted fold-safely inside modeling cross-validation, never by mutating Batch19 globally here. This decision does not read target_intrapartum_cs, event rates, target correlations, coefficients, or model performance.",False,fold_safe_standard_scaler
weight_before_pregnancy,True,True,True,continuous,1.542,True,True,raw_no_fixed_power_transform,"Logistic regression requires a linear relationship between the predictor and the log-odds of the outcome, not a normally distributed predictor -- skewness alone is not sufficient justification for transformation. Clinically implausible/erroneous values were already adjudicated separately and target-blind in Section B2; this section does not re-litigate that adjudication. The raw clinical unit remains directly interpretable to a clinical reader. Any future nonlinear functional-form sensitivity analysis (e.g. splines, a data-driven Box-Cox lambda) must be fitted fold-safely inside modeling cross-validation, never by mutating Batch19 globally here. This decision does not read target_intrapartum_cs, event rates, target correlations, coefficients, or model performance.",False,fold_safe_standard_scaler
height,True,True,True,continuous,0.08,False,True,raw_no_fixed_power_transform,"Logistic regression requires a linear relationship between the predictor and the log-odds of the outcome, not a normally distributed predictor -- skewness alone is not sufficient justification for transformation. Clinically implausible/erroneous values were already adjudicated separately and target-blind in Section B2; this section does not re-litigate that adjudication. The raw clinical unit remains directly interpretable to a clinical reader. Any future nonlinear functional-form sensitivity analysis (e.g. splines, a data-driven Box-Cox lambda) must be fitted fold-safely inside modeling cross-validation, never by mutating Batch19 globally here. This decision does not read target_intrapartum_cs, event rates, target correlations, coefficients, or model performance.",False,fold_safe_standard_scaler
BMI_before,True,True,True,continuous,1.599,True,True,raw_no_fixed_power_transform,"Logistic regression requires a linear relationship between the predictor and the log-odds of the outcome, not a normally distributed predictor -- skewness alone is not sufficient justification for transformation. Clinically implausible/erroneous values were already adjudicated separately and target-blind in Section B2; this section does not re-litigate that adjudication. The raw clinical unit remains directly interpretable to a clinical reader. Any future nonlinear functional-form sensitivity analysis (e.g. splines, a data-driven Box-Cox lambda) must be fitted fold-safely inside modeling cross-validation, never by mutating Batch19 globally here. This decision does not read target_intrapartum_cs, event rates, target correlations, coefficients, or model performance.",False,fold_safe_standard_scaler
Hb_before_delivery,False,True,True,continuous,0.1,False,True,raw_no_fixed_power_transform,"Logistic regression requires a linear relationship between the predictor and the log-odds of the outcome, not a normally distributed predictor -- skewness alone is not sufficient justification for transformation. Clinically implausible/erroneous values were already adjudicated separately and target-blind in Section B2; this section does not re-litigate that adjudication. The raw clinical unit remains directly interpretable to a clinical reader. Any future nonlinear functional-form sensitivity analysis (e.g. splines, a data-driven Box-Cox lambda) must be fitted fold-safely inside modeling cross-validation, never by mutating Batch19 globally here. This decision does not read target_intrapartum_cs, event rates, target correlations, coefficients, or model performance.",False,fold_safe_standard_scaler
gestational_age_at_delivery_days,False,False,True,continuous,-2.977,True,True,raw_no_fixed_power_transform,"Logistic regression requires a linear relationship between the predictor and the log-odds of the outcome, not a normally distributed predictor -- skewness alone is not sufficient justification for transformation. Clinically implausible/erroneous values were already adjudicated separately and target-blind in Section B2; this section does not re-litigate that adjudication. The raw clinical unit remains directly interpretable to a clinical reader. Any future nonlinear functional-form sensitivity analysis (e.g. splines, a data-driven Box-Cox lambda) must be fitted fold-safely inside modeling cross-validation, never by mutating Batch19 globally here. This decision does not read target_intrapartum_cs, event rates, target correlations, coefficients, or model performance.",False,fold_safe_standard_scaler
G,True,True,True,discrete_count,,False,True,not_applicable_discrete_count,"G is a small-integer obstetric-history count (non-negativity + integerness validated in Section B2b), not a continuous physiological measurement -- a fixed continuous power transform is not applicable. Ordinary upper-tail counts are not treated as skew requiring transformation. This decision does not read target_intrapartum_cs, event rates, target correlations, coefficients, or model performance.",False,fold_safe_standard_scaler
P,True,True,True,discrete_count,,False,True,not_applicable_discrete_count,"P is a small-integer obstetric-history count (non-negativity + integerness validated in Section B2b), not a continuous physiological measurement -- a fixed continuous power transform is not applicable. Ordinary upper-tail counts are not treated as skew requiring transformation. This decision does not read target_intrapartum_cs, event rates, target correlations, coefficients, or model performance.",False,fold_safe_standard_scaler
LIVE_BIRTH,True,True,True,discrete_count,,False,True,not_applicable_discrete_count,"LIVE_BIRTH is a small-integer obstetric-history count (non-negativity + integerness validated in Section B2b), not a continuous physiological measurement -- a fixed continuous power transform is not applicable. Ordinary upper-tail counts are not treated as skew requiring transformation. This decision does not read target_intrapartum_cs, event rates, target correlations, coefficients, or model performance.",False,fold_safe_standard_scaler
AB,True,True,True,discrete_count,,False,True,not_applicable_discrete_count,"AB is a small-integer obstetric-history count (non-negativity + integerness validated in Section B2b), not a continuous physiological measurement -- a fixed continuous power transform is not applicable. Ordinary upper-tail counts are not treated as skew requiring transformation. This decision does not read target_intrapartum_cs, event rates, target correlations, coefficients, or model performance.",False,fold_safe_standard_scaler
CS,True,True,True,discrete_count,,False,True,not_applicable_discrete_count,"CS is a small-integer obstetric-history count (non-negativity + integerness validated in Section B2b), not a continuous physiological measurement -- a fixed continuous power transform is not applicable. Ordinary upper-tail counts are not treated as skew requiring transformation. This decision does not read target_intrapartum_cs, event rates, target correlations, coefficients, or model performance.",False,fold_safe_standard_scaler
