predictor,physical_type,earliest_entry_stage,canonical_model_representation,model_entry_mode,publication_status,publication_value_source,publication_representation,inferential_role,binary_semantic_status,reference_label,comparison_label,clinical_unit,native_unit,reporting_unit,continuous_unit_scale,reference_level,category_order,raw_code_to_publication_label,functional_form_status,source_of_decision,needs_clinical_signoff,reason
nulliparity,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 = no prior deliveries vs value 0 = one or more prior deliveries",BINARY,EXPLICITLY_DOCUMENTED,value 0 = one or more prior deliveries,value 1 = no prior deliveries,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv (physical_variable_type=binary, model_representation_type=binary_passthrough) + analysis/preprocessing/run_preprocessing.py (log_deviation_event documented=""Binary 0/1: 1 = no prior deliveries, 0 = one or more prior deliveries."")",False,Canonical 0/1 binary passthrough with an explicit repository-documented numeric-to-meaning mapping (value 1 = no prior deliveries vs value 0 = one or more prior deliveries); reference = value 0.
pregnancy_related_hypertensive_disorder,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
gestational_diabetes,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
aspirin_during_pregnancy,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
S_P_CS,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 = previous CS vs value 0 = no previous CS",BINARY,EXPLICITLY_DOCUMENTED,value 0 = no previous CS,value 1 = previous CS,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv (physical_variable_type=binary, model_representation_type=binary_passthrough) + analysis/preprocessing/run_preprocessing.py (documented=""Binary field: 0=no previous CS, 1=previous CS"") + CLAUDE.md 'S_P_CS — Status Post Cesarean Section' (1=yes, 0=no)",False,Canonical 0/1 binary passthrough with an explicit repository-documented numeric-to-meaning mapping (value 1 = previous CS vs value 0 = no previous CS); reference = value 0.
AGE,continuous,1,same_as_physical_numeric,direct,APPROVED,raw_cleaned_column,"APPROVED continuous, raw years, OR per 1 year -- LINEAR functional form (final, locked)",CONTINUOUS,,,,years,years,1 year,1.0,,,,LINEAR_FORM_APPROVED,"docs/data_dictionary/clinical_variable_dictionary.yaml (AGE: value in years) + CLAUDE.md Approved Clinical Rules (native clinical unit, no fold transform) + FINAL FUNCTIONAL-FORM LOCK (ordinary one-slope logistic association, subject-cluster-robust covariance)",False,"Native clinical unit; OR reported per 1 year, one-slope logistic association. LINEAR_FORM_APPROVED (final, locked). FINAL FUNCTIONAL-FORM LOCK (manual, data-informed, exploratory decision): the reporting unit was chosen for clinical interpretability, and the linear-vs-nonlinear functional-form review that followed used the observed study data and outcome -- this is a data-informed exploratory methodological decision, not a prospectively prespecified one. No functional form was selected by an automatic p<0.05 rule and no outcome-derived cutpoint was created. The manual decision weighed cluster-robust Wald evidence, fitted-curve shape, data support, sparsity, clinical plausibility, and parsimony. Inferential findings remain exploratory rather than confirmatory."
mode_of_conception_ivf_vs_all,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 = IVF (הפריה חוץ גופית) vs value 0 = other fertility treatment or no treatment (טיפול אחר או ללא טיפול)",BINARY,EXPLICITLY_DOCUMENTED,value 0 = other fertility treatment or no treatment (טיפול אחר או ללא טיפול),value 1 = IVF (הפריה חוץ גופית),binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv (physical_variable_type=binary, model_representation_type=binary_passthrough) + docs/data_dictionary/clinical_variable_dictionary.yaml (mode_of_conception_ivf_vs_all codes_he: ""1 - IVF (הפריה חוץ גופית), 0 - טיפול אחר או ללא טיפול"")",False,Canonical 0/1 binary passthrough with an explicit repository-documented numeric-to-meaning mapping (value 1 = IVF (הפריה חוץ גופית) vs value 0 = other fertility treatment or no treatment (טיפול אחר או ללא טיפול)); reference = value 0.
IUGR,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
endometrioma,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
adenomyosis,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 = adenomyosis present (QA rule: sonographic feature codes 1-10 present -> must be 1) vs value 0 = disease absence (no adenomyosis)",BINARY,EXPLICITLY_DOCUMENTED,value 0 = disease absence (no adenomyosis),value 1 = adenomyosis present (QA rule: sonographic feature codes 1-10 present -> must be 1),binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv (physical_variable_type=binary, model_representation_type=binary_passthrough) + analysis/preprocessing/run_preprocessing.py (documented=""Binary 0/1. Documented QA rule: if sonographic features include codes 1-10, adenomyosis must be 1."") establishes value 1; analysis/data_cleaning/notebook_build/data_cleaning_b/cleaning_b_part4_transformations_imputation_plan.py (SB5F_ADENOMYOSIS section: ""the existing binary `adenomyosis` variable already represents disease absence"" for adenomyosis == 0 rows) establishes value 0",False,Canonical 0/1 binary passthrough with an explicit repository-documented numeric-to-meaning mapping (value 1 = adenomyosis present (QA rule: sonographic feature codes 1-10 present -> must be 1) vs value 0 = disease absence (no adenomyosis)); reference = value 0.
